#SampleID	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Intercept	C(Advanced_Stage_label)[T.Local]	C(Advanced_Stage_label)[T.n.a]	C(Smoking_status)[T.Current]	C(Smoking_status)[T.Former]	C(Smoking_status)[T.Never]	C(Smoking_status)[T.current]
1084952	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__	s__	1.760599714	-1.20714478	3.133953444	1.363892964	2.449050304	3.150717947	-1.073667171
569835	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	f__	g__	s__	-0.951384697	0.708535971	-0.817616351	-0.139581078	0.243874547	1.602554384	-0.171013358
585063	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	-1.026682291	-0.134270294	-0.114326425	1.054421223	0.722595271	2.020489309	-0.141244891
1074625	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__	s__	-1.201821242	1.059404539	-0.649734028	0.161600358	-0.126001957	0.402639244	0.019730208
876170	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Salinibacterium	s__	0.87493905	-0.592155976	-2.182859786	-0.168362015	-0.359489086	-2.573543933	-1.445258262
1052930	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Luteimonas	s__	-1.053481016	0.566582372	1.100238196	0.579937226	-0.227132323	1.122006651	-0.100361469
588929	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__copri							
569335	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__[Chromatiaceae]	g__Rheinheimera	s__	-1.354851637	0.251130329	-0.536179908	-1.121006602	-0.322981957	1.646845285	0.091097114
1002005	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__	s__	0.928967561	-0.76708488	-2.02553118	-0.557266229	0.172683296	0.762773219	-1.619508627
746799	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__	-0.351039443	0.786002191	0.289093725	0.405572779	-0.823348525	-1.285331633	-0.649905446
252045	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Planctomyces	s__	-0.018689189	-0.044352038	-1.17552913	-1.075989598	-0.114704612	-0.247159627	-0.85506666
1084157	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Intrasporangiaceae	g__Janibacter	s__	-1.020811711	1.534067767	-0.7772379	-1.939758175	0.010229346	-2.123683121	-0.14502156
869513	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	-0.737434778	1.633700566	-1.009355433	-0.949216955	-1.029431942	-2.30369344	-0.357551816
